,Date,Close
604,2022-05-25,28.37
605,2022-05-26,27.5
606,2022-05-27,25.72
607,2022-05-31,26.19
608,2022-06-01,25.69
609,2022-06-02,24.72
610,2022-06-03,24.79
611,2022-06-06,25.07
612,2022-06-07,24.02
613,2022-06-08,23.96
614,2022-06-09,26.09
615,2022-06-10,27.75
616,2022-06-13,34.02
617,2022-06-14,32.69
618,2022-06-15,29.62
619,2022-06-16,32.95
620,2022-06-17,31.13
621,2022-06-21,30.19
622,2022-06-22,28.95
623,2022-06-23,29.05
624,2022-06-24,27.23
625,2022-06-27,26.95
626,2022-06-28,28.36
627,2022-06-29,28.16
628,2022-06-30,28.71
629,2022-07-01,26.7
630,2022-07-05,27.54
631,2022-07-06,26.73
632,2022-07-07,26.08
633,2022-07-08,24.64
634,2022-07-11,26.17
635,2022-07-12,27.29
636,2022-07-13,26.82
637,2022-07-14,26.4
638,2022-07-15,24.23
639,2022-07-18,25.3
640,2022-07-19,24.5
641,2022-07-20,23.88
642,2022-07-21,23.11
643,2022-07-22,23.03
644,2022-07-25,23.36
645,2022-07-26,24.69
646,2022-07-27,23.24
647,2022-07-28,22.33
648,2022-07-29,21.33
649,2022-08-01,22.84
650,2022-08-02,23.93
651,2022-08-03,21.95
652,2022-08-04,21.44
653,2022-08-05,21.15
654,2022-08-08,21.29
655,2022-08-09,21.77
656,2022-08-10,19.74
657,2022-08-11,20.2
658,2022-08-12,19.53
659,2022-08-15,19.95
660,2022-08-16,19.69
661,2022-08-17,19.9
662,2022-08-18,19.56
663,2022-08-19,20.6
664,2022-08-22,23.8
665,2022-08-23,24.11
666,2022-08-24,22.82
667,2022-08-25,21.78
668,2022-08-26,25.56
669,2022-08-29,26.21
670,2022-08-30,26.21
671,2022-08-31,25.87
672,2022-09-01,25.56
673,2022-09-02,25.47
674,2022-09-06,26.91
675,2022-09-07,24.64
676,2022-09-08,23.61
677,2022-09-09,22.79
678,2022-09-12,23.87
679,2022-09-13,27.27
680,2022-09-14,26.16
681,2022-09-15,26.27
682,2022-09-16,26.3
683,2022-09-19,25.76
684,2022-09-20,27.16
685,2022-09-21,27.99
686,2022-09-22,27.35
687,2022-09-23,29.92
688,2022-09-26,32.26
689,2022-09-27,32.6
690,2022-09-28,30.18
691,2022-09-29,31.84
692,2022-09-30,31.62
693,2022-10-03,30.1
694,2022-10-04,29.07
695,2022-10-05,28.55
696,2022-10-06,30.52
697,2022-10-07,31.36
698,2022-10-10,32.45
699,2022-10-11,33.63
700,2022-10-12,33.57
701,2022-10-13,31.94
702,2022-10-14,32.02
703,2022-10-17,31.37
704,2022-10-18,30.5
705,2022-10-19,30.76
706,2022-10-20,29.98
707,2022-10-21,29.69
708,2022-10-24,29.85
709,2022-10-25,28.46
710,2022-10-26,27.28
711,2022-10-27,27.39
712,2022-10-28,25.75
713,2022-10-31,25.88
714,2022-11-01,25.81
715,2022-11-02,25.86
716,2022-11-03,25.3
717,2022-11-04,24.55
718,2022-11-07,24.35
719,2022-11-08,25.54
720,2022-11-09,26.09
721,2022-11-10,23.53
722,2022-11-11,22.52
723,2022-11-14,23.73
724,2022-11-15,24.54
725,2022-11-16,24.11
726,2022-11-17,23.93
727,2022-11-18,23.12
728,2022-11-21,22.36
729,2022-11-22,21.29
730,2022-11-23,20.35
731,2022-11-25,20.5
732,2022-11-28,22.21
733,2022-11-29,21.89
734,2022-11-30,20.58
735,2022-12-01,19.84
736,2022-12-02,19.06
737,2022-12-05,20.75
738,2022-12-06,22.17
739,2022-12-07,22.68
740,2022-12-08,22.29
741,2022-12-09,22.83
742,2022-12-12,25.0
743,2022-12-13,22.55
744,2022-12-14,21.14
745,2022-12-15,22.83
746,2022-12-16,22.62
747,2022-12-19,22.42
748,2022-12-20,21.48
749,2022-12-21,20.07
750,2022-12-22,21.97
751,2022-12-23,20.87
752,2022-12-27,21.65
753,2022-12-28,22.14
754,2022-12-29,21.44
755,2022-12-30,21.67
756,2023-01-03,22.9
757,2023-01-04,22.01
